City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,10.46,93,79,0.45,NZ,1728845959
1,vadso,70.0744,29.7487,7.09,81,75,11.83,NO,1728845960
2,port antonio,18.18,-76.4612,31.37,55,9,5.79,JM,1728845961
3,port elizabeth,-33.918,25.5701,17.16,98,75,7.2,ZA,1728845686
4,weno,7.4515,151.8468,27.74,79,100,3.14,FM,1728845963
5,port-aux-francais,-49.35,70.2167,4.04,93,95,9.83,TF,1728845965
6,atafu village,-8.5421,-172.5159,27.85,74,95,5.06,TK,1728845967
7,anadyr,64.75,177.4833,-14.72,85,0,4.0,RU,1728845968
8,debre werk',10.6667,38.1667,12.62,88,94,1.5,ET,1728845970
9,albany,42.6001,-73.9662,8.68,77,92,0.45,US,1728845971
10,guiuan,11.0333,125.7247,29.03,71,100,2.69,PH,1728845972
11,uturoa,-16.7333,-151.4333,24.83,72,18,7.25,PF,1728845973
12,longyearbyen,78.2186,15.6401,2.91,70,75,10.29,SJ,1728845974
13,iskateley,67.6803,53.1512,0.82,94,25,5.4,RU,1728845975
14,lamu,-2.2717,40.902,25.23,84,91,4.71,KE,1728845976
15,ramnagar,29.4,79.1167,20.61,72,7,2.03,IN,1728845978
16,tiksi,71.6872,128.8694,-10.83,89,100,4.02,RU,1728845951
17,ushuaia,-54.8,-68.3,10.81,62,40,4.63,AR,1728845980
18,newman,37.3138,-121.0208,24.47,60,0,2.68,US,1728845981
19,jamestown,42.097,-79.2353,11.68,100,100,2.57,US,1728845982
20,papatowai,-46.5619,169.4708,3.78,82,20,2.0,NZ,1728845983
21,west island,-12.1568,96.8225,26.99,83,20,7.2,CC,1728845984
22,hawaiian paradise park,19.5933,-154.9731,26.6,77,51,0.89,US,1728845985
23,al mindak,20.1588,41.2834,20.18,64,76,1.63,SA,1728845986
24,egilsstadir,65.2653,-14.3948,-2.05,69,75,4.12,IS,1728845987
25,maqat,47.65,53.3167,2.34,34,0,4.78,KZ,1728845988
26,el alto,-4.2714,-81.2147,20.75,72,35,8.74,PE,1728845990
27,cestos city,5.46,-9.5828,24.09,90,100,2.86,LR,1728845991
28,adamstown,-25.066,-130.1015,21.07,81,100,6.44,PN,1728845992
29,talnakh,69.4865,88.3972,-3.86,97,100,3.7,RU,1728845993
30,leteri,24.05,77.4,24.15,79,8,2.5,IN,1728845994
31,san antonio de pale,-1.4014,5.6325,25.88,82,100,5.05,GQ,1728845995
32,zarate,-34.0981,-59.0286,15.18,99,100,2.06,AR,1728845997
33,puerto natales,-51.7236,-72.4875,14.25,44,40,15.43,CL,1728845998
34,murghob,38.1702,73.9667,1.07,38,5,3.48,TJ,1728845999
35,tabalah,19.95,42.4,30.58,30,100,3.13,SA,1728846000
36,lebu,-37.6167,-73.65,13.06,69,72,6.0,CL,1728846003
37,gorom-gorom,14.4439,-0.2361,35.79,21,98,4.45,BF,1728846004
38,petrov val,50.1434,45.2096,1.31,54,0,6.01,RU,1728846005
39,bethel,41.3712,-73.414,18.36,68,100,3.6,US,1728845882
40,zarah sharan,33.1467,68.7917,14.21,28,0,3.05,AF,1728846007
41,bredasdorp,-34.5322,20.0403,15.42,78,100,4.01,ZA,1728846009
42,badger,64.8,-147.5333,1.66,94,100,2.06,US,1728846010
43,dhidhdhoo,6.8833,73.1,27.82,79,100,6.57,MV,1728846011
44,aasiaat,68.7098,-52.8699,-1.83,75,24,2.87,GL,1728846013
45,kailua-kona,19.6406,-155.9956,27.93,76,9,0.29,US,1728846015
46,sao felix do xingu,-6.6447,-51.995,36.34,29,100,1.23,BR,1728846016
47,merizo village,13.2658,144.6691,27.31,90,100,3.13,GU,1728846017
48,tabou,4.423,-7.3528,23.65,93,100,1.81,CI,1728846018
49,san rafael del yuma,18.4299,-68.6739,33.11,52,59,4.29,DO,1728846019
50,minas de marcona,-15.2119,-75.1103,20.28,51,5,7.65,PE,1728846020
51,lazaro cardenas,17.9583,-102.2,29.54,66,46,3.06,MX,1728846021
52,jagodina,43.9814,21.2622,14.28,56,100,0.55,RS,1728846022
